difficulty,question,choice1,choice2,choice3,choice4,answer,explain
standard,"同僚から性的指向や性自認に関する相談を受けました。
この情報の取り扱いとして最も適切なのはどれでしょう？",信頼関係を損なうため、本人の同意がない共有は避ける,部署内なら自由に共有してよい,業務効率が上がるので問題ない,相手が当事者なら自動的に許可される,0,"性的指向や性自認に関する情報は、本人にとって非常にプライベートな情報です。
善意であっても、本人の同意なく共有するとアウティングになる可能性があります。
情報が広がることで、人間関係や職場での安心感に影響が生じる場合もあります。
共有は目的と範囲を明確にし、必要最小限にとどめることが重要です。
信頼を守ることが、相談しやすい職場づくりの土台になります。"
standard,"部下から「職場で使用する呼称を変更したい」と相談を受けました。
管理職として最も適切な対応はどれでしょう？",本人の希望を尊重し、必要最小限の範囲で共有する,前例がないので対応を保留し続ける,周囲の反応を見てから対応を決める,本人の許可なく全社共有してしまう,0,"呼称や名前は、その人の尊厳やアイデンティティと深く関わっています。
本人が望む呼称を尊重することは、安心して働ける環境づくりにつながります。
一方で、業務上必要な情報共有が必要な場合もあります。
そのため共有範囲は本人と相談しながら決めることが重要です。
「配慮」と「プライバシー保護」の両立が求められます。"
standard,"会議前の雑談で、性的指向に関する冗談が話題になりました。
この場面で最も適切な対応はどれでしょう？",その場で問題を指摘し、差別を許容しない姿勢を示す,空気を壊さないように一緒に笑う,後で思い出したら対処する,当事者が何も言わないなら問題ないと考える,0,"差別的な発言は、発言者に悪意がなくても周囲へ影響を与えることがあります。
誰も指摘しない場合、その発言が許容されていると受け取られることもあります。
当事者がその場にいなくても、職場文化の形成には影響します。
その場で冷静に問題を指摘することが再発防止につながります。
アライの行動としても重要な場面です。"
standard,"別部署の同僚から、ある社員の性的指向に関する話を聞きました。
この情報の扱いとして最も適切なのはどれでしょう？",本人の同意がないなら、さらに広めず静かに扱う,業務に関係があるので詳細を聞き出す,秘密を共有して雑談の話題にする,善意なので本人に確認せず周知する,0,"カミングアウトは、本人が信頼できる相手を選んで行うことがあります。
本人が話していない人に情報が広がると、安心感を失う原因になります。
「みんな知っているから大丈夫」とは限りません。
情報の管理は本人の意思を最優先に考える必要があります。
信頼関係を守ることが最も重要です。"
standard,"同僚から「自分らしい性別で働ける環境について相談したい」と言われました。
最も適切な対応はどれでしょう？",軽く扱わず、本人の希望を尊重しながら職場全体で支える,趣味の話として受け流し、業務とは切り離す,本人に我慢を求め、現状のまま働くよう促す,本人の許可なく周囲に事情を説明する,0,"トランスジェンダー当事者は、服装や呼称、設備利用などで悩みを抱えることがあります。 
LGBTQ＋という言葉は一括りで使われますが、レズビアン・ゲイ・バイセクシュアル（LGB）が主に「性的指向」に関する概念であるのに対し、
トランスジェンダー（T）は「性自認」に関する概念です。
そのため直面する課題や必要な配慮は必ずしも同じではありません。
配慮内容は一人ひとり異なるため対話が重要です。
本人の希望を尊重しながら進めることが求められます。"
standard,日本におけるLGBTQ+関連の法制度について、現在の状況に近い説明はどれでしょう？,同性婚はできず、法制度上の課題が残っている,同性婚は全国で完全に制度化されている,職場差別を禁止する包括法がすでに整備済みで課題はない,戸籍上の性別変更は誰でも条件なしでできる,0,"日本では同性婚を認める法律はまだ成立していません。
そのため、相続や医療、社会保障などで課題が生じる場合があります。
一方で、司法判断や自治体制度は変化を続けています。
法制度は発展途上であり、状況は継続的に変化しています。
現状を正確に理解することが大切です。"
standard,"社内の緊急連絡先登録フォームに『配偶者・親・子』しか選択肢がありません。
このケースで考えるべきこととして最も適切なのはどれでしょう？",緊急連絡先として必要な要件を見直し、家族の形を限定しない,法律婚ではないため登録を認めない,制度は変えず個別対応だけで済ませる,本人に説明を諦めてもらう,0,"このケースの論点は、同性パートナーを認めるかどうかではありません。
緊急連絡先制度の目的は、緊急時に連絡すべき相手を登録することです。
しかし制度が特定の家族像を前提としている場合があります。
当事者は制度利用のたびに関係性を説明する負担を感じることがあります。
制度の目的と運用が一致しているかを考えることが重要です。"
standard,"採用面接で、応募書類の氏名と日常的に使用している名前が異なる応募者がいました。
採用担当者として最も適切な対応はどれでしょう？",業務に必要な範囲で確認し、過度な説明を求めない,詳細な経緯を必ず説明してもらう,周囲へ共有する,採用を見送る,0,"本人確認は必要ですが、過度な説明を求める必要はありません。
業務上必要な情報と不要な情報を区別することが大切です。
詳細な個人事情を聞かれることに不安を感じる人もいます。
採用担当者にはプライバシーへの配慮が求められます。
公平な採用プロセスを維持することが重要です。"
standard,"社員証の写真が現在の外見と大きく異なっているため更新相談がありました。
このケースで重要な観点はどれでしょう？",本人確認と心理的安全性の両立,見た目を優先する,本人確認は不要である,写真更新を認めない,0,"社員証には本人確認という目的があります。
一方で、過去の写真が心理的負担になる場合もあります。
本人確認と心理的安全性の両方を考える必要があります。
適切な更新ルールや相談体制も重要です。
業務と尊厳の両立を考えるケースです。"
standard,"職場の雑談で恋愛や結婚の話題になるたびに、本当のことを話さず話を合わせている人がいます。
このケースで生じる負担として最も適切なものはどれでしょう？",日常的な自己隠蔽によるストレス,単なる人見知り,コミュニケーション能力不足,業務能力の問題,0,"LGBTQ＋当事者の負担は、差別的な言葉を受けることだけではありません。
日常会話の中で、本当のことを話すかどうかを繰り返し判断している人もいます。
「話しても大丈夫か」を常に考える状態は精神的な負荷につながります。
少数者ストレス理論では、このような警戒や自己隠蔽も重要な要素とされています。
周囲には見えにくいため、理解されにくい課題の一つです。"
advanced,"同性カップルが住宅購入の手続きで、関係性について何度も説明を求められています。
このケースの本質的な負担はどれでしょう？",関係性を繰り返し説明しなければならないこと,住宅ローンの金利が高いこと,住宅購入が禁止されていること,説明すること自体に法的義務があること,0,"不動産会社側に悪意がなくても、このような場面は当事者にとって負担になることがあります。
関係性を説明するかどうかを毎回判断する必要があるためです。
このような継続的な警戒や自己調整は少数者ストレスとも関連しています。
問題は質問そのものではなく、同じ説明を繰り返す状況です。
日常生活の中にある見えにくい負担を理解することが大切です。"
advanced,"日本では同性婚を認める法律はまだ成立していません。一方で、高裁では違憲判断が相次ぎ、2026年には最高裁大法廷で審理されることになりました。
2026年8月時点の状況として正しいものはどれでしょう？",同性婚を可能にする法律は成立しておらず、最高裁大法廷の判断待ちである,同性婚は全国で制度化されている,最高裁が違憲と確定判決を出している,自治体パートナーシップ制度が法律婚と同じ効力を持つ,0,"日本では同性婚を可能にする法律はまだ成立していません。
一方で高裁判決では違憲判断が多数を占めています。
しかし最高裁による統一判断はまだ示されていません。
「違憲判決＝制度化」とは限らない点が重要です。
司法と立法の役割の違いを理解する必要があります。"
advanced,"同性婚制度は認めず、同性カップルには別の法制度を用意するという考え方があります。
2025年の大阪高裁判決が示した考え方として最も近いものはどれでしょう？",同性カップルだけを別制度に置くことでは差別を解消できない,同性婚は禁止されるべきである,同性婚とパートナーシップ制度は完全に同じである,同性婚は国会で議論すべきではない,0,"大阪高裁は、同性カップルだけを別制度に置くことに着目しました。
問題は制度があるかどうかではなく、平等な扱いかどうかです。
同じ権利や社会的承認が得られるかが論点になりました。
婚姻制度の意味そのものが問われた判決といえます。
平等原則を考える上で重要な事例です。"
advanced,"政府は、配偶者等に関する規定を持つ153本の法令について、同性パートナーが対象となるかを点検しました。
2025年時点で『同性パートナーも対象に含まれ得る』と整理された法令数はどれでしょう？",33本,13本,92本,153本,0,"政府は153本の法令を点検し、そのうち33本について同性パートナーが対象に含まれ得ると整理しました。
これは個別制度の見直しが進んでいることを示しています。
一方で、残る約120本は引き続き検討対象となっており、包括的な制度整備には至っていません。
同性婚制度の有無とは別に、行政運用の改善が進められている点が重要です。
制度改革が段階的に進む例として理解しましょう。"
advanced,"自治体のパートナーシップ制度が広がっています。
しかし、この制度と法律婚には違いがあります。最も適切な説明はどれでしょう？",重要な制度だが法律婚と同一ではない,法律婚と全く同じ効力を持つ,相続や親子関係も自動的に保障される,全国共通の法律制度である,0,"パートナーシップ制度は大きな前進と評価されています。
一方で法律婚とは異なり、権利保障に差があります。
自治体によって内容や運用も異なります。
当事者の安心感と法的効果は必ずしも一致しません。
法律婚との違いを理解することが重要です。"
advanced,"「戸籍上の性別を変更するためには、生殖能力を失う手術が必要」という制度がありました。
この制度について、2023年の最高裁大法廷決定が特に問題視した点はどれでしょう？",手術を受けるか法的性別変更を諦めるかという過酷な二者択一,年齢要件が厳しすぎること,医師診断が必要なこと,申請費用が高額なこと,0,"当時の制度では、戸籍上の性別変更を希望する人に対し、生殖能力を失う手術を事実上求めていました。
最高裁は、「手術を受けるか、法的性別変更を諦めるか」という二者択一を本人に迫る点を問題視しました。
そのため、生殖不能要件については違憲・無効と判断されました。
ただし、この判決によって性別変更制度のすべての要件がなくなったわけではなく、制度全体の見直しも継続中です。
最高裁判決と法改正は別のプロセスであることに注意が必要です。"
advanced,"アジアでも同性婚制度の導入が進んでいます。
タイの婚姻平等法について正しい説明はどれでしょう？",2025年に施行され、婚姻や相続などの権利を保障した,パートナーシップ制度のみを導入した,同性婚を禁止した,医療分野だけを対象とした,0,"タイはアジア地域で婚姻平等を実現した代表例です。
婚姻だけでなく相続や税など幅広い権利が対象になりました。
社会制度全体への影響が大きい改革でした。
日本と同じアジア圏の事例として比較されることが多くあります。
制度改革の一つのモデルといえます。"
advanced,"韓国では同性婚制度は導入されていませんが、同性パートナーに関する重要な司法判断が出ています。
2024年の最高裁判決が扱ったテーマはどれでしょう？",健康保険の扶養認定,同性婚制度,養子縁組制度,法的性別変更制度,0,"韓国では同性婚制度は導入されていません。
しかし健康保険制度における平等な扱いが争点となりました。
裁判所は合理的な理由のない差別を問題視しました。
婚姻制度以外の分野から平等化が進む例といえます。
権利保障には複数のアプローチがあることを示しています。"
advanced,"法制度の整備が進行する一方で、企業による取り組みも進んでいます。
NTT DATAのLGBTQ＋施策として正しいものはどれでしょう？",同性パートナーにも配偶者向け制度を適用している,同性パートナーは制度対象外である,福利厚生は法律婚のみ対象である,アライ活動は行っていない,0,"NTT DATAでは同性パートナーにも多くの福利厚生制度を適用しています。
法律婚の有無にかかわらず働きやすい環境づくりを進めています。
またアライ活動や啓発施策も継続的に実施されています。
企業は法制度を変えることはできませんが、職場環境は改善できます。
制度と企業文化の両面が重要です。"
advanced,"『理解のある上司がいれば十分で、制度や相談窓口は必要ない』という意見があります。
企業施策として推奨されるものはどれでしょう？",アウティング防止や相談窓口を明文化する,制度整備は不要である,本人の同意なく情報共有する,対応を管理職個人に任せる,0,"LGBTQ＋施策は個人の善意だけでは十分ではありません。
安心して相談できる仕組みやルールが必要です。
アウティング防止や秘密保持はその代表例です。
制度が整備されることで相談へのハードルが下がります。
継続的に利用できる仕組みづくりが重要です。"
